id,sensor_type,value,timestamp
1,total dissolved solids,709.35,2024-12-19 04:21:33
2,turbidity,2969.33,2024-12-19 04:21:33
3,temperature,75.99,2024-12-19 04:21:34
4,total dissolved solids,0.3,2024-12-19 04:21:36
5,turbidity,1.25,2024-12-19 04:21:36
6,temperature,75.99,2024-12-19 04:21:37
7,total dissolved solids,0.33,2024-12-19 04:21:38
8,turbidity,1.37,2024-12-19 04:21:38
9,total dissolved solids,0.3,2024-12-19 04:21:40
10,turbidity,1.25,2024-12-19 04:21:40
11,temperature,76.1,2024-12-19 04:21:40
12,total dissolved solids,0.3,2024-12-19 04:21:42
13,turbidity,1.25,2024-12-19 04:21:42
14,temperature,75.99,2024-12-19 04:21:43
15,total dissolved solids,0.3,2024-12-19 04:21:44
16,turbidity,1.25,2024-12-19 04:21:44
17,temperature,75.99,2024-12-19 04:21:46
18,total dissolved solids,0.3,2024-12-19 04:21:46
19,turbidity,1.25,2024-12-19 04:21:46
20,total dissolved solids,0.3,2024-12-19 04:21:48
21,turbidity,1.25,2024-12-19 04:21:48
22,temperature,75.99,2024-12-19 04:21:49
23,total dissolved solids,0.3,2024-12-19 04:21:50
24,turbidity,1.25,2024-12-19 04:21:50
25,temperature,76.1,2024-12-19 04:21:52
26,total dissolved solids,0.3,2024-12-19 04:21:52
27,turbidity,1.25,2024-12-19 04:21:52
28,total dissolved solids,710.33,2024-12-20 00:20:25
29,turbidity,2973.42,2024-12-20 00:20:25
30,temperature,76.44,2024-12-20 00:20:26
31,turbidity,2990.26,2024-12-20 00:20:27
32,total dissolved solids,714.35,2024-12-20 00:20:27
33,temperature,76.44,2024-12-20 00:20:29
34,total dissolved solids,0.3,2024-12-20 00:20:29
35,turbidity,1.25,2024-12-20 00:20:29
36,total dissolved solids,0.27,2024-12-20 00:20:32
37,turbidity,1.14,2024-12-20 00:20:32
38,temperature,76.44,2024-12-20 00:20:32
39,turbidity,2997.31,2024-12-20 00:20:34
40,total dissolved solids,716.03,2024-12-20 00:20:34
41,temperature,76.44,2024-12-20 00:20:35
42,total dissolved solids,0.3,2024-12-20 00:20:36
43,turbidity,1.25,2024-12-20 00:20:36
44,temperature,76.44,2024-12-20 00:20:38
45,turbidity,3007.1,2024-12-20 00:20:38
46,total dissolved solids,718.37,2024-12-20 00:20:38
47,total dissolved solids,0.33,2024-12-20 00:20:40
48,turbidity,1.37,2024-12-20 00:20:40
49,temperature,76.44,2024-12-20 00:20:41
50,total dissolved solids,0.33,2024-12-20 00:20:42
51,turbidity,1.37,2024-12-20 00:20:42
52,temperature,76.78,2024-12-20 00:20:43
53,total dissolved solids,0.3,2024-12-20 00:20:44
54,turbidity,1.25,2024-12-20 00:20:44
55,total dissolved solids,0.3,2024-12-20 00:20:46
56,turbidity,1.25,2024-12-20 00:20:46
57,temperature,77.34,2024-12-20 00:20:46
58,total dissolved solids,0.3,2024-12-20 00:20:48
59,turbidity,2992.76,2024-12-20 00:20:48
60,temperature,77.79,2024-12-20 00:20:49
61,total dissolved solids,0.3,2024-12-20 00:20:51
62,turbidity,2999.25,2024-12-20 00:20:51
63,temperature,77.9,2024-12-20 00:20:52
64,total dissolved solids,0.3,2024-12-20 00:20:53
65,turbidity,1.25,2024-12-20 00:20:53
66,total dissolved solids,0.3,2024-12-20 00:20:55
67,turbidity,1.25,2024-12-20 00:20:55
68,temperature,77.79,2024-12-20 00:20:55
69,total dissolved solids,0.3,2024-12-20 00:20:57
70,turbidity,1.25,2024-12-20 00:20:57
71,temperature,77.79,2024-12-20 00:20:58
72,total dissolved solids,693.15,2024-12-20 00:20:59
73,turbidity,2901.53,2024-12-20 00:20:59
74,temperature,77.67,2024-12-20 00:21:01
75,turbidity,27.3,2024-12-20 00:21:01
76,total dissolved solids,6.52,2024-12-20 00:21:01
77,total dissolved solids,0.33,2024-12-20 00:21:03
78,turbidity,1.37,2024-12-20 00:21:03
79,temperature,77.67,2024-12-20 00:21:04
80,total dissolved solids,0.3,2024-12-20 00:21:05
81,turbidity,1.25,2024-12-20 00:21:05
82,temperature,77.56,2024-12-20 00:21:07
83,total dissolved solids,0.3,2024-12-20 00:21:08
84,turbidity,1.25,2024-12-20 00:21:08
85,total dissolved solids,0.3,2024-12-20 00:21:10
86,turbidity,1.25,2024-12-20 00:21:10
87,temperature,77.56,2024-12-20 00:21:10
88,turbidity,1.25,2024-12-20 00:21:12
89,total dissolved solids,0.3,2024-12-20 00:21:12
90,temperature,77.45,2024-12-20 00:21:13
91,total dissolved solids,713.94,2024-12-20 00:21:14
92,turbidity,2988.55,2024-12-20 00:21:14
